name,sex
pramod,1
ajit,1
deelip,1
aaftaab,1
monu,1
ramesh,1
sawan,1
saurabh,1
avdhesh,1
sohnal,1
najar,1
lavtar,1
nanak,1
harprasad,1
ashsish,1
rajesh,1
ashu,1
manjeet,1
jaipal,1
jalil,1
kasim,1
udham,1
narayan,1
lakshman,1
shahid,1
ishtkar,1
harish,1
puneet,1
rashab,1
praful,1
tarachand,1
puran,1
narender,1
ankush,1
ranveer,1
anwar,1
sadab,1
gorav,1
laxmikant,1
abbas,1
avinash,1
ravish,1
hukum,1
pappu,1
mahesh,1
rekhai,1
vashudev,1
akshay,1
goldy,1
satyender,1
babloo,1
bhavesh,1
gourav,1
amarapal,1
tara,1
momin,1
parnav,1
parminder,1
mustafa,1
dharmender,1
parth,1
abhimanyu,1
rohan,1
samir,1
kanheya,1
mushrraf,1
pardeep,1
nithyanandham,1
mahavir,1
indra,1
soni,1
rima,1
ramjan,1
omparkash,1
alok,1
vude,1
chetanya,1
pinkoo,1
shardanand,1
henkhochon,1
shashi,1
amrudin,1
shahnawaz,1
brij,1
baban,1
subham,1
sapna,1
surendra,1
naveen,1
amar,1
nanhu,1
rishab,1
ziyabul,1
jag,1
shyama,1
bhag,1
parbhat,1
aamod,1
nanagram,1
gautam,1
govind,1
pramjot,1
nootan,1
chhotelal,1
abdul,1
sambhu,1
yasib,1
sone,1
chhotu,1
sushant,1
adersen,1
hardeep,1
fitrat,1
karunakar,1
somdath,1
shiva,1
iswar,1
maj,1
manni,1
sonu,1
amrit,1
tausin,1
rajveer,1
bhrat,1
annu,1
ombir,1
anand,1
varun,1
yameen,1
jitendra,1
iarfan,1
vasim,1
prateek,1
birju,1
pradeep,1
raghubir,1
ayub,1
azhar,1
tufail,1
afridi,1
tahir,1
abhay,1
anuj,1
vipiv,1
inderpal,1
sanjit,1
aasto,1
dhansinghpuri,1
chottu,1
nirmal,1
niranjan,1
mantu,1
firakat,1
ashshwer,1
andhav,1
akhil,1
ranbir,1
sikandar,1
dalip,1
satnosh,1
sohan,1
aasish,1
tavinder,1
laxman,1
milan,1
harishankar,1
sri,1
radheyshyam,1
damanjeet,1
sameer,1
bhushan,1
samadh,1
malkeet,1
uma,1
kamla,1
tikku,1
janesh,1
lakshya,1
anoop,1
dal,1
pushpendra,1
harpal,1
khimanand,1
akshit,1
chandan,1
vinay,1
pancham,1
shekher,1
bir,1
shankarlal,1
ishwar,1
vimal,1
omprkash,1
masoom,1
toquir,1
sarthak,1
armaan,1
nabav,1
subin,1
mayur,1
ghansyam,1
asharam,1
son,1
badri,1
azad,1
jorj,1
naresh,1
deepu,1
aashik,1
sugodh,1
munender,1
ashutosh,1
harender,1
jay,1
parmod,1
mangat,1
aryan,1
savan,1
aarif,1
patik,1
nand,1
sarad,1
liyakat,1
vicky,1
bodh,1
shamshad,1
bittu,1
shashank,1
hare,1
vipulander,1
khuma,1
piyush,1
lakhan,1
nadim,1
sahdab,1
tufel,1
tekchand,1
bobby,1
tejvir,1
dilip,1
subodh,1
pramood,1
dev,1
shri,1
muntiyaj,1
lilu,1
surjeet,1
ratikant,1
deva,1
firoz,1
raghuveer,1
dheeraj,1
sardar,1
sita,1
ritik,1
ketan,1
angreg,1
sitaram,1
rampati,1
ramsurat,1
jockyipai,1
murli,1
rehman,1
gurdarshan,1
ramsem,1
shahrukh,1
atul,1
shanwaz,1
samsuddin,1
sourav,1
chain,1
somender,1
sorabh,1
phirdos,1
aabid,1
rajneesh,1
shakil,1
ayan,1
amil,1
sidharath,1
milap,1
sanny,1
roshan,1
jeeya,1
ishant,1
durganand,1
same,1
ramkishan,1
tarun,1
brijmohan,1
tajuddin,1
mannu,1
suhail,1
shakti,1
haider,1
pandit,1
baksi,1
banwari,1
devraj,1
man,1
uday,1
kanhaiya,1
kripal,1
kaif,1
arsh,1
chirag,1
prince,1
tarif,1
lalan,1
ali,1
sheru,1
bhanu,1
sanni,1
vanish,1
firoj,1
ranjeet,1
traun,1
sushil,1
subhakar,1
praveen,1
shabuddin,1
surgayan,1
rinki,1
akram,1
khemraj,1
chaterpal,1
shaukat,1
lekhraj,1
aayush,1
ajeet,1
lok,1
rattan,1
rajaram,1
ranjit,1
sujeet,1
cheddi,1
shail,1
sahrukh,1
kalu,1
swapanesh,1
rupender,1
manjiv,1
kamruddin,1
jaiprakash,1
anurag,1
bal,1
laksh,1
jitendera,1
jagmal,1
radhey,1
chandra,1
prasant,1
balwant,1
prahlad,1
vipendra,1
mujaffar,1
sharukh,1
harison,1
danish,1
bandu,1
sudhir,1
dhrmveer,1
adi,1
riyaz,1
balbir,1
bijender,1
mithlesh,1
mohak,1
divansh,1
muneer,1
dhalchand,1
bishan,1
paras,1
ganesh,1
chanden,1
chandrram,1
ansh,1
islam,1
sohaib,1
krishana,1
sonali,1
satyam,1
viney,1
dhramender,1
swami,1
sartaj,1
ramhetu,1
jabir,1
harvinder,1
sajjan,1
prhalad,1
partik,1
kapil,1
salin,1
shayam,1
imran,1
sameem,1
chetanram,1
ajman,1
puspak,1
desh,1
shisupal,1
vikarm,1
shayamveer,1
shyamveer,1
paul,1
ramchander,1
harkesh,1
anup,1
randhir,1
shashikant,1
aadil,1
pooja,1
mohhmad,1
pancu,1
ramtek,1
punarjyoti,1
parteek,1
hansraj,1
nadeem,1
babu,1
ameen,1
sanjiv,1
nizamuddin,1
suman,1
mahaveer,1
mahipal,1
ramprasad,1
asif,1
daniel,1
zakir,1
agyapad,1
suwadhin,1
arif,1
noorjama,1
yashin,1
raviraj,1
shoab,1
teerath,1
ankur,1
harichand,1
chatan,1
deepchand,1
jasveer,1
deepender,1
aoosaf,1
abrar,1
tanveer,1
ratiman,1
mul,1
jasbir,1
anwari,1
shyamlal,1
nashim,1
phooleshwar,1
aatif,1
jahid,1
mho,1
ridhakaran,1
babulal,1
jabbar,1
rinku,1
altaf,1
sheikhsai,1
shagufta,1
moni,1
harendra,1
sivam,1
shambhu,1
shripal,1
rada,1
mahendra,1
shivyalam,1
dharmandra,1
surya,1
hrithik,1
akbar,1
lal,1
sehzad,1
tushar,1
pushkar,1
ahsan,1
aftab,1
kundan,1
faijal,1
banarsi,1
utkarsh,1
noor,1
subhas,1
kavilash,1
sarvan,1
mamta,1
robin,1
lalaram,1
bikki,1
mamchand,1
barkat,1
manful,1
rajendar,1
satbar,1
bobi,1
salmaan,1
hararat,1
anshul,1
ansu,1
saroj,1
birij,1
love,1
omprakash,1
taushif,1
leo,1
rahish,1
deshraj,1
shibu,1
shamim,1
irshad,1
unkar,1
girish,1
vipta,1
bhupesh,1
munesh,1
gopi,1
fulmiya,1
balram,1
shib,1
bangali,1
nanhe,1
hazrat,1
sudhansu,1
raseel,1
bijendra,1
bhagwan,1
bhajanlal,1
chran,1
hariom,1
aashu,1
azam,1
bharma,1
gyanendra,1
javed,1
gulreg,1
jahagir,1
sumer,1
udaiveer,1
ravindera,1
sabbir,1
sant,1
salim,1
manpreet,1
harak,1
naseem,1
jiya,1
akshpaat,1
abhash,1
yogeshwar,1
yasar,1
lamani,1
jeeshan,1
ved,1
jeetu,1
vidit,1
giri,1
nawab,1
satyvrat,1
versha,0
kumar,1
shekh,1
shah,1
ishan,1
titu,1
shailesh,1
tunni,1
mukeemuddin,1
ronak,1
chitrangan,1
chatar,1
rihan,1
divyansh,1
nwed,1
abdullah,1
raghuvir,1
dharmvir,1
bram,1
dular,1
shobharam,1
prabhjeet,1
tosif,1
ghanshyam,1
somnath,1
hosiyarilal,1
tapan,1
rafiq,1
begraj,1
dhanna,1
amrish,1
ghan,1
kabul,1
lave,1
akhtar,1
khursheed,1
lawrence,1
arsad,1
daler,1
ravikant,1
nandu,1
rajni,1
taj,1
unknown,1
deewan,1
keshave,1
boby,1
sany,1
suminder,1
mohinuddin,1
shanbhu,1
abhisekh,1
meenu,1
soyam,1
lakki,1
harjeet,1
indal,1
vivekanand,1
trilochan,1
munajir,1
vikramjeet,1
lakshit,1
mithun,1
baldev,1
anish,1
tirlok,1
viram,1
nijam,1
mhoomad,1
madhan,1
mahfuj,1
manav,1
kalish,1
mansur,1
manender,1
kanhiya,1
manak,1
jagjiwan,1
bansilal,1
jalaluddin,1
sahid,1
satbir,1
naeem,1
not,1
ramswaroop,1
banty,1
sabir,1
muslim,1
jagat,1
roop,1
shetan,1
shahnawaj,1
shree,1
iklakh,1
halkuji,1
matadeen,1
ragwender,1
surat,1
gurvinder,1
rinkoo,1
dilshad,1
babar,1
veepinchand,1
rishabh,1
anmol,1
bachu,1
moolchand,1
sarfraj,1
samser,1
avadh,1
talib,1
shashwat,1
vimlesh,1
mahindra,1
mohmmd,1
hazari,1
tinku,1
hasan,1
suryanath,1
amir,1
akilesh,1
ashwani,1
nittin,1
umesh,1
chotu,1
sat,1
sourabh,1
sehzada,1
gurmeet,1
amuchla,1
dilbar,1
chhedilal,1
parsnath,1
gulshad,1
siwani,1
arshad,1
gangadhar,1
sahab,1
baburam,1
udaiy,1
satya,1
sultan,1
iqbal,1
sher,1
jawhar,1
harshit,1
gjender,1
tulshi,1
shamsuddin,1
deen,1
amreek,1
paramjeet,1
druga,1
aashif,1
istyara,1
kewal,1
shyad,1
jubed,1
sanu,1
prakash,1
ballu,1
punnet,1
chand,1
aashis,1
farhan,1
khushal,1
amart,1
ramkesh,1
shakib,1
srheeram,1
tohid,1
sidhrath,1
harib,1
aasif,1
jat,1
rajat,1
netram,1
bajrangi,1
tony,1
nazir,1
sahwaj,1
ramji,1
trilok,1
prafhool,1
shish,1
shaurabh,1
kesha,1
bhopal,1
lucki,1
fakrrudeen,1
jasvinder,1
khalid,1
bhabhav,1
saleem,1
rocky,1
nar,1
kawaljeet,1
omender,1
yashwant,1
biran,1
farku,1
rajpal,1
braham,1
shanawaz,1
hukam,1
sanaullah,1
dhruv,1
dirgaj,1
magat,1
aanad,1
charanjeet,1
aaditya,1
nitesh,1
dhaney,1
zeshan,1
pinki,1
goutam,1
joria,1
yogender,1
moh,1
sai,1
dhananjay,1
saidas,1
abdulla,1
naim,1
vipul,1
naitik,1
abhiraj,1
irsad,1
basant,1
kailesh,1
eldro,1
gulab,1
birbal,1
ruplal,1
surajpal,1
patric,1
rakshit,1
suleman,1
dishad,1
shambu,1
bahart,1
devasish,1
bijander,1
rajendra,1
bunty,1
charnjeet,1
justin,1
budhan,1
bhagat,1
gobind,1
affan,1
mohamad,1
gulashan,1
jasvindir,1
omveer,1
mustkeem,1
vikky,1
mangal,1
sanju,1
ramwatar,1
avdesh,1
harbanschauhan,1
bhram,1
kaushar,1
khalil,1
haridutt,1
chaman,1
lasar,1
sorav,1
jumrati,1
dwarika,1
gurpreet,1
sidharth,1
jumman,1
sujit,1
garv,1
salesh,1
yoginder,1
shulal,1
jaykumar,1
sidarth,1
sahajad,1
satyanarayan,1
daks,1
sahnaz,1
parmo,1
sukhram,1
avnish,1
bahrat,1
ebane,1
satnam,1
aniket,1
dauji,1
nanni,1
rahisuddin,1
lakshay,1
gurfaan,1
repu,1
anuraj,1
goverdhan,1
rajinder,1
divy,1
tilakram,1
sarju,1
gordhan,1
joginder,1
kashiram,1
ramchandra,1
dayal,1
siddarth,1
saksham,1
julfi,1
jagbir,1
guruvachan,1
shanwaj,1
ranjan,1
attar,1
dimpu,1
bimlesh,1
sabeer,1
satyawan,1
hadarali,1
bhavuk,1
zahid,1
ankaj,1
patras,1
ramu,1
parsanjeet,1
raghubeer,1
navneet,1
mithu,1
asruddin,1
sabi,1
kamraan,1
dharambir,1
bechan,1
amkit,1
khurshid,1
makbul,1
preet,1
manku,1
balchand,1
wali,1
nathu,1
tamana,1
ramdhin,1
mustkim,1
sangit,1
sarvash,1
kaluram,1
trlokchand,1
sanoj,1
kanwar,1
girdhari,1
adesh,1
parkash,1
daljeet,1
sidh,1
anurudh,1
sahnawaz,1
mehak,1
toni,1
sohail,1
bittan,1
sitender,1
phool,1
kishore,1
nankesh,1
nasruddin,1
hasim,1
harishchandr,1
sudan,1
sagir,1
sapan,1
sangram,1
veerpal,1
vishnu,1
urendra,1
bholu,1
sundeep,1
munkad,1
rupendra,1
rakkibhul,1
neki,1
omkar,1
lucky,1
devid,1
babbu,1
parashu,1
brijesh,1
satvir,1
maujim,1
shalid,1
atitaj,1
amin,1
zaheer,1
babupuri,1
lakhamichand,1
saizad,1
dheerendra,1
rana,1
dhannu,1
rukhsar,1
jagdeep,1
parmood,1
aakar,1
rohtash,1
jaibir,1
kheem,1
mahammd,1
yusuf,1
bhupendra,1
rehan,1
chandermani,1
jaiparkash,1
permeshwar,1
aadish,1
buddhi,1
lakhraj,1
virpal,1
minder,1
chitranjan,1
chiranjavi,1
krishna,1
ashishi,1
suchit,1
jogender,1
deepaak,1
indernath,1
hira,1
lokendra,1
birpal,1
vaibav,1
kalyan,1
kuwar,1
sankar,1
prashant,1
vikki,1
radhe,1
harvansh,1
yadho,1
partap,1
manver,1
nasir,1
rajnesh,1
sakal,1
noornabi,1
papuu,1
bhudhi,1
banshi,1
prabhat,1
ratul,1
keshav,1
prameshwar,1
ramlakhan,1
chhatar,1
mahbir,1
aakib,1
hanuman,1
rambabu,1
bittoo,1
amlesh,1
parshotam,1
chhitar,1
anantram,1
mobarkar,1
ramchandr,1
govinda,1
jaichand,1
gurjeet,1
senser,1
sajruddin,1
karmveer,1
chetram,1
jamal,1
lakhami,1
niwas,1
pphola,1
naruram,1
ramdev,1
lalital,1
devkran,1
hariesh,1
mehinder,1
prabhakar,1
baljinder,1
sudershan,1
parshu,1
shakhtnsana,1
yaqub,1
dalchand,1
pukharam,1
sarif,1
saif,1
bhudev,1
faisal,1
sujal,1
victor,1
jeevan,1
moin,1
manash,1
waseem,1
ramjeet,1
upendra,1
yashpal,1
razi,1
papp,1
parmeshwar,1
lakhvinder,1
shahnabaz,1
sajid,1
jhalla,1
pramatma,1
mata,1
rajeet,1
rishipal,1
sukhpal,1
haji,1
rijwan,1
dharamvir,1
bhan,1
aijay,1
gauravgil,1
adalat,1
umar,1
tharu,1
fanni,1
nijamuddin,1
ikrar,1
mehboob,1
durvesh,1
ibarhim,1
balvinder,1
umang,1
deepansu,1
surajbhan,1
avtar,1
indervesh,1
gaffar,1
najre,1
jitendr,1
sofali,1
braj,1
nishant,1
abhishak,1
taufik,1
sukumar,1
shekhar,1
durgashankar,1
jairam,1
umashankar,1
aidtya,1
ashik,1
bashudev,1
sarafat,1
guru,1
anshuman,1
karanveer,1
adil,1
mehtab,1
manosh,1
sukhvinder,1
mnyak,1
nabal,1
handu,1
shivcharan,1
dhramveer,1
vakesh,1
devendra,1
tohir,1
sadiq,1
shobha,1
sukul,1
kanishakraj,1
ravidutt,1
vikrant,1
bacchu,1
mhosin,1
ramnihor,1
emran,1
virendra,1
upender,1
dibakar,1
rameswar,1
shabbir,1
rampal,1
wasim,1
numesh,1
aashish,1
hament,1
mager,1
imtyaz,1
siya,1
devendr,1
davinder,1
pratul,1
arindom,1
harikishan,1
ravinath,1
yespal,1
puskar,1
dharmendr,1
sanwar,1
kanisk,1
manjesh,1
dharamveer,1
pratap,1
parshant,1
shakar,1
surendr,1
sardhu,1
maha,1
farman,1
durgalal,1
chote,1
dakch,1
mustikeem,1
maneesh,1
mohmmad,1
sukjveer,1
sulender,1
rameshwar,1
ekram,1
sukh,1
sadik,1
vishu,1
nathuram,1
baljeet,1
ovaish,1
jalmi,1
pabu,1
deepanshu,1
saurab,1
jaidev,1
najim,1
dipak,1
jisan,1
ilesh,1
makhan,1
aatir,1
furkan,1
gagan,1
jameer,1
bannu,1
devasheeh,1
imamuddin,1
mukaram,1
tofik,1
mukund,1
omjone,1
radhesayam,1
ibraham,1
dushyant,1
umakant,1
latur,1
rupak,1
prami,1
nitish,1
jaanu,1
manshi,1
ish,1
suja,1
hiramani,1
taleem,1
swarn,1
lala,1
bhoop,1
shatish,1
rijvan,1
dhrampal,1
sheeak,1
tilak,1
sotaj,1
nipun,1
chunni,1
girraj,1
dhamender,1
bhrkat,1
digvijay,1
chamanlal,1
suneel,1
udmai,1
sheikh,1
gorv,1
jot,1
adisan,1
forshan,1
kamil,1
aamin,1
rohthash,1
yaman,1
virat,1
bhagirath,1
firasat,1
misri,1
gajendra,1
tek,1
vilram,1
shafi,1
gunanidhi,1
sakil,1
krish,1
bachhu,1
bhura,1
kanhaiyalal,1
priyansu,1
manvir,1
sansaar,1
dhan,1
omendra,1
aejaz,1
dabu,1
aasim,1
faran,1
sahdev,1
mukhtiyar,1
sikender,1
bhaddal,1
sukhveer,1
himmat,1
aash,1
faiz,1
rampher,1
dharampal,1
jaspal,1
reena,1
bheema,1
jaffar,1
bachheshwar,1
basanta,1
avfesh,1
jankraj,1
budh,1
randheer,1
ramsingh,1
mehib,1
ahmed,1
kajamuddih,1
alijan,1
awdhesh,1
schin,1
shriram,1
manohar,1
vansh,1
omperkash,1
nagender,1
mansharam,1
dwarka,1
chandi,1
riyajudhin,1
ramlal,1
atish,1
ajaypal,1
monish,1
mintu,1
subhodh,1
navdeep,1
ishatkar,1
malchand,1
job,1
jankidas,1
grish,1
santram,1
nishith,1
pandu,1
tajwar,1
rahmat,1
harbinder,1
modh,1
nazim,1
saidul,1
sadhna,1
sabbar,1
najis,1
heeralal,1
kalpadma,1
shikha,1
abhinwav,1
hiralal,1
papa,1
akshat,1
vedanand,1
shahjad,1
ishwer,1
liveri,1
vikesh,1
shadik,1
warish,1
shahabuddin,1
wiresh,1
jaiprkesh,1
manjit,1
satyaprakash,1
chitu,1
ashraf,1
ashiya,1
gafur,1
jawahar,1
ramniwas,1
zanmi,1
mehphal,1
sukhbir,1
subato,1
sundar,1
naman,1
birajpal,1
vidyadatt,1
manjar,1
mamu,1
harmani,1
najimuddin,1
khangara,1
alaudin,1
sujan,1
rubal,1
lakhmi,1
narsingh,1
surinder,1
jakir,1
hitesh,1
ranju,1
sateesh,1
somesh,1
mahfooz,1
afjal,1
hemraj,1
mhendar,1
dilsad,1
nasiar,1
wasimuddin,1
jedu,1
sehbaj,1
venkatswaran,1
ghasiram,1
ramphal,1
dhurve,1
boduram,1
munshi,1
sanjai,1
raud,1
dharm,1
rukshan,1
devik,1
anjeev,1
sudarshan,1
ramnath,1
harpreet,1
dhurender,1
sishpal,1
dhisa,1
teekam,1
surendar,1
dhirender,1
munnu,1
narendera,1
ramkish,1
biru,1
dhiraj,1
mujibu,1
rahim,1
gyan,1
bobbi,1
navjoot,1
siddharth,1
sarjeet,1
dhanraj,1
mehandi,1
thakur,1
babuddin,1
parsuram,1
bhuneshwar,1
garib,1
bhupen,1
lokender,1
bhagipuri,1
manmath,1
tulsiram,1
ahmad,1
brijpal,1
rishaw,1
naroo,1
farjand,1
sidhant,1
bitto,1
fhaishal,1
sujata,1
dakshina,1
banwarilal,1
rasab,1
shelesh,1
pitar,1
siraj,1
bisto,1
sanpat,1
beragi,1
kishor,1
sarik,1
mubashir,1
moshin,1
harishen,1
satan,1
prmod,1
nasim,1
nadir,1
mustak,1
kunj,1
vijendar,1
bhojaram,1
lakh,1
sukhbeer,1
sukhavinder,1
selva,1
majid,1
sugai,1
munder,1
sehnawaj,1
mandu,1
kamaldeep,1
sarabjeet,1
luv,1
jahgeer,1
aaenab,1
mohad,1
lali,1
lehru,1
newal,1
ravindr,1
jisaan,1
mnoj,1
aaftab,1
constable,1
ameer,1
jawed,1
gopiram,1
joholal,1
akansh,1
pushpendr,1
chettan,1
katwa,1
anash,1
yogendr,1
riyajudin,1
sukar,1
fida,1
parbhudayal,1
ujir,1
mandeep,1
prakesh,1
mool,1
mamraj,1
ramkumari,1
yeshpal,1
bhauk,1
rehaan,1
mangol,1
rai,1
akil,1
sajju,1
tej,1
yogendra,1
rajend,1
sumender,1
ijhar,1
chotan,1
babul,1
omi,1
rajna,1
naulakh,1
faimuddin,1
harbhajan,1
sadod,1
kirpa,1
hukma,1
nrotam,1
surindera,1
navnit,1
inkoo,1
ramvir,1
samim,1
pransis,1
bacche,1
mannulal,1
dildar,1
samon,1
hawa,1
roopsingh,1
parvez,1
rajnish,1
revndrshing,1
anjani,1
sufian,1
sanchit,1
tanmay,1
sakcham,1
pradep,1
dhananjai,1
parvej,1
chintan,1
tejpal,1
said,1
paratibha,1
surgyan,1
pappe,1
ashad,1
aajiv,1
stephen,1
asrf,1
dama,1
bada,1
megharaj,1
rantesh,1
saad,1
bhala,1
tanvir,1
harun,1
javid,1
happy,1
hashim,1
fakerey,1
adarsh,1
gyanender,1
faim,1
toshar,1
sakib,1
usmaan,1
bhim,1
meer,1
sohanpal,1
rishu,1
amina,1
bahadur,1
layman,1
jasiram,1
sharwan,1
biraj,1
nepal,1
gopesh,1
pavnesh,1
mantosh,1
shobhit,1
gordhanlal,1
jitu,1
chandu,1
brijshwaer,1
kulbir,1
kawa,1
dhermendra,1
shahwaj,1
vedprakash,1
ajeem,1
vickky,1
manoish,1
jite,1
binani,1
partyush,1
nakul,1
sahun,1
sakir,1
arunkumar,1
veeru,1
rajdut,1
abishak,1
roji,1
jwala,1
oli,1
afshar,1
tripurari,1
abul,1
rolly,1
makan,1
baijnath,1
faizur,1
kayum,1
giriraj,1
choga,1
beeram,1
lateef,1
dharmendra,1
baleshwar,1
khemchand,1
kundin,1
rajvir,1
galu,1
balak,1
mastan,1
hajrat,1
madho,1
vijender,1
kanahiya,1
shoukat,1
laddha,1
rajkiran,1
sahjad,1
visan,1
sandip,1
kashiv,1
sunaina,1
shabir,1
bhagwat,1
amarjit,1
hem,1
abhisek,1
bhuvneshwar,1
koushik,1
fahim,1
daaud,1
majunew,1
chhagan,1
kirshanpal,1
padam,1
jaideep,1
vishanu,1
ratneshwar,1
natha,1
ganeshi,1
dharmpal,1
bhisan,1
prabhudayal,1
tapas,1
munni,1
divakar,1
pramal,1
paramjit,1
shidharth,1
diwakar,1
baam,1
mahinder,1
denesh,1
gurlal,1
hera,1
subhan,1
afzal,1
devki,1
virnit,1
etahsaam,1
jaivind,1
gur,1
rejaul,1
dharmendera,1
gurcharan,1
dhukhu,1
njare,1
partul,1
mohardi,1
sispal,1
vihsal,1
ansul,1
phoolo,1
meharuddin,1
kalusingh,1
birgesh,1
lalu,1
balwan,1
dowlat,1
vinoda,1
aditiya,1
islamudin,1
durg,1
sonam,1
syed,1
surajmal,1
iqubal,1
zishan,1
aswin,1
tilk,1
sodan,1
haseem,1
babli,1
megharam,1
susmata,1
gruchran,1
satu,1
amrika,1
mast,1
prashanat,1
jaskirat,1
rumeet,1
sahajaha,1
omeshkumar,1
taslim,1
kunwar,1
subjeet,1
bhole,1
navin,1
rudmal,1
chintu,1
cheete,1
janmesh,1
lakshy,1
surendera,1
beenu,1
murad,1
angan,1
tanish,1
shanvaj,1
souvik,1
sinder,1
sumoranjam,1
davender,1
devdhari,1
goruav,1
latoor,1
surjit,1
saroz,1
asarfi,1
saurav,1
narendra,1
vijaypal,1
radat,1
khusaboo,1
salinder,1
samad,1
asish,1
kirshna,1
ombeer,1
sham,1
ganpat,1
balbeer,1
ramfare,1
lovly,1
khamchand,1
bhulaee,1
mihir,1
soban,1
lllllllllllllllllll,1
prabhu,1
sawrn,1
sridwrikaprasad,1
ratwari,1
swapam,1
phakir,1
susanto,1
biitu,1
seti,1
patan,1
manesh,1
muzim,1
mogli,1
paramveer,1
manmohan,1
ibrahim,1
ramanand,1
milkhi,1
asi,1
velaram,1
dipanshu,1
santi,1
haneef,1
megh,1
ramakant,1
inderjit,1
rambrij,1
kapiil,1
saruf,1
hakimuddin,1
jasvant,1
kumail,1
tameezuddin,1
khajan,1
dimpal,1
puranmal,1
visvajeet,1
subash,1
sooraj,1
sabrajeet,1
shadan,1
gotam,1
nizam,1
homa,1
kartar,1
tashnim,1
maksood,1
sudhdev,1
kalap,1
mangeram,1
naushad,1
chootu,1
nawed,1
ajab,1
vaid,1
perdeep,1
hanif,1
sinil,1
manvendra,1
hanumanram,1
visham,1
devpal,1
shur,1
dolat,1
srikant,1
ishu,1
ramkumar,1
maninder,1
dhurpati,1
hamza,1
naryan,1
baichan,1
vanshu,1
sashi,1
shanti,1
ritesh,1
neelajan,1
chajju,1
ghurul,1
nirbhay,1
bhagwanaram,1
pervez,1
amarnath,1
ashif,1
binder,1
dhanpat,1
